卸売業	浅岡窯業原料（株）	三重県四日市市阿倉川町	059-333-2211	浅岡 史郎	1928年5月	1950年2月	2,000万円	15名	その他の卸売業	窯業原料卸、乾燥、坏土製造、陶芸用品販売		http://www.asaoka-ceram.co.jp/	観光・窯業
卸売業	朝日金属（株）	三重県四日市市昌栄町	059-351-4606	桑原 由行	1962年8月	1974年1月	3,000万円	64名	再生資源卸売業	総合リサイクル業		http://www.asahi-metal.com/	繊維紙工・機械金属
卸売業	（有）朝日屋商店	三重県四日市市元町	059-353-1161	山中　義光	1952年4月	1952年4月	300万円		食料・飲料卸売業（茶卸含む）	菓子卸売業			食品
卸売業	アポロ化学販売（株）	三重県四日市市小古曽東二丁目	059-349-6088	服部　豊之	1988年12月	1997年2月	2,000万円	9名	化学製品卸売業	包装資材、合成樹脂原料、化成品、溶剤の販売		http://www.h7.dion.ne.jp/~apollo/	化学・石油
卸売業	（株）あまがす	三重県四日市市中野町	059-339-1277	天春 良忠	1977年7月	1977年7月	1,000万円	3名	建築材料卸売業（硝子、サッシ含む）	土木資材販売、二次製品、抗斤工事一式			建設
卸売業	（株）一色商会	三重県四日市市久保田二丁目	059-351-1911	一色　克巳	1970年1月	1976年4月	2,200万円	29名	建築材料卸売業（硝子、サッシ含む）	上下水道配管資材販売、住宅設備機器製品の販売、住宅用太陽光発電販売		http://isshikishokai.com/index.php	繊維紙工・機械金属
卸売業	井口製茶（株）	三重県四日市市滝川町	059-331-5258	井口 信之	1915年5月	1990年1月	3,500万円	7名	食料・飲料卸売業（茶卸含む）	製茶再製加工 卸売及小売			食品
卸売業	石井燃商（株）	三重県四日市市稲葉町	059-351-1411	石井 惣司	1918年1月	1962年7月	3,800万円	75名	鉱物・金属材料卸売業（石油、ガス卸売含む）	液化石油ガス及び住宅設備機器商品の卸販売．小売 貴金属の小売業	エネルギー総合生活提案サービス／ＬＰガス／太陽光発電。エコエネルギー提案に積極的取組。住まいの環境問題お気軽にご相談ください。	http://www.ishii-nensho.co.jp	情報・医療・福祉・サービス
卸売業	（有）イシハラ	三重県四日市市日永東三丁目	059-345-7891	石原　壽久		1996年2月	300万円	4名	建築材料卸売業（硝子、サッシ含む）	ステンレス材料卸			繊維紙工・機械金属
卸売業	伊勢久（株）四日市営業所	三重県四日市市富士町	059-331-5284	中島　辰也	1758年01月	1930年12月	1億円	13名	化学製品卸売業	試薬、臨床検査薬、工業薬品、理化学機器、ニユーセラミツクス原料、分析機器		http://www.isekyu-jp.com	化学・石油
卸売業	（株）イセト―西尾商店	三重県四日市市大字西阿倉川	059-332-1055	西尾 政晃	1972年4月	1972年4月	1,000万円	5名	陶磁器卸売業	陶器卸売			観光・窯業
卸売業	（有）井高	三重県四日市市稲葉町	059-352-4319	杉谷 昌士		1973年4月	300万円	22名	再生資源卸売業	産業廃棄物収集運搬業			不動産
卸売業	（株）板津商店	三重県四日市市大治田一丁目	059-345-3700	板津 彰郎	1949年4月	1973年12月	1,000万円	26名	鉱物・金属材料卸売業（石油、ガス卸売含む）	鉄板シャ－リング、折り曲げ加工、ＮＣガス切断、一般鋼材販売、レーザー切断加工			繊維紙工・機械金属
卸売業	（株）一ヱ商店	三重県四日市市富州原町	059-365-3118	鈴木 栄作	1916年1月	1951年3月	1,000万円	6名	建築材料卸売業（硝子、サッシ含む）	セメント、生コンクリート、ＡＬＣ、セメント関連製品販売	太平洋セメント（株）の特約販売店、総合建設資材卸売業	http://www.ichieshouten.jp/ichieshouten/03-campany.html	建設
卸売業	（有）市川商店	三重県四日市市八幡町	059-352-6536	市川 満		1990年5月	300万円	5名	機械器具卸売業（自動車、家電含む）	機械工具販売			繊維紙工・機械金属
卸売業	（有） 伊藤與吉商店	三重県四日市市東富田町	059-365-0029	伊藤 忠和	1921年1月	1981年6月	1,000万円	5名	農畜産物・水産物卸売業	煮干、小女子等塩干物卸、各種袋詰			食品
卸売業	（株）伊藤園四日市支店	三重県四日市市新正一丁目	059-359-0251	相原　進	1966年8月	1979年5月	199億1,230万円	29名	食料・飲料卸売業（茶卸含む）	茶業及び総合飲料の製造販売			食品
卸売業	（有）伊藤硝子工事	三重県四日市市浜町	059-354-1805	伊藤　達彦	1967年8月	1990年12月	500万円	1名	建築材料卸売業（硝子、サッシ含む）	板硝子販売工事、住宅用サッシ販売工事			建設
卸売業	（有）伊藤太吉商店	三重県四日市市新正四丁目	059-354-0161	伊藤　真行	1981年10月	1982年4月	925万円	4名	その他の卸売業	玩具民芸品等の卸売業			小売商業
卸売業	（株）イトジュ	三重県四日市市川原町	059-331-3252	伊藤 靖則	1943年4月	1961年5月	500万円	10名	再生資源卸売業	鉄、非金属のリサイクル業、総合廃棄物処理業及びリサイクル業		http://www.itoju.com	繊維紙工・機械金属
